,0,1,2
638,150,622,0
639,1102,1520,0
641,1026,1571,0
642,398,1864,1
643,6,640,0
644,720,1664,1
645,1031,1638,0
647,752,1522,1
648,716,1538,1
649,496,1708,1
650,92,534,0
651,48,500,0
653,149,640,0
654,172,563,0
656,1051,1660,0
658,102,598,0
660,1090,1590,0
661,332,1584,1
666,1190,1571,0
667,306,1652,1
668,1115,1644,0
670,366,1650,1
671,168,592,0
672,460,1670,1
673,1136,1675,0
675,1156,1531,0
676,1111,1520,0
677,20,584,0
678,730,1528,1
679,35,674,0
680,64,529,0
681,112,630,0
683,1181,1615,0
684,336,1530,1
685,109,514,0
686,1121,1569,0
689,17,536,0
690,724,1514,1
692,155,612,0
693,708,1472,1
695,81,679,0
696,1050,1675,0
697,163,617,0
699,1040,1644,0
701,91,614,0
703,101,663,0
704,784,1632,1
705,1118,1682,0
706,89,678,0
708,1158,1633,0
709,1131,1690,0
710,322,1522,1
711,56,689,0
712,1171,1686,0
713,1158,1621,0
714,1169,1693,0
716,1019,1665,0
717,1184,1640,0
718,706,1502,1
719,372,1570,1
720,1050,1677,0
722,1040,1632,0
723,1130,1683,0
725,788,1532,1
727,724,1502,1
729,1061,1642,0
730,1026,1617,0
731,1068,1661,0
733,186,620,0
735,380,1826,1
736,7,591,0
737,38,642,0
738,42,547,0
739,194,640,0
740,36,682,0
742,1116,1632,0
743,1034,1652,0
744,1116,1633,0
748,356,1758,1
749,1078,1674,0
750,94,684,0
752,1076,1577,0
753,51,533,0
757,179,580,0
759,1153,1524,0
761,4,574,0
766,104,614,0
767,306,1530,1
768,1104,1521,0
769,83,532,0
771,1183,1645,0
773,120,580,0
774,1155,1570,0
775,1171,1501,0
777,1040,1510,0
779,1097,1641,0
780,382,1874,1
784,610,1512,1
786,1175,1519,0
787,706,1634,1
788,79,581,0
789,99,587,0
791,468,1512,1
792,1008,1586,0
793,1120,1667,0
796,120,564,0
797,1136,1522,0
798,1005,1529,0
802,414,1460,1
803,432,1804,1
804,142,548,0
805,163,674,0
807,49,563,0
808,12,606,0
810,1167,1545,0
811,172,559,0
812,1047,1609,0
813,171,657,0
815,58,543,0
818,40,626,0
819,1096,1691,0
820,766,1486,1
822,192,662,0
823,1159,1523,0
824,1133,1620,0
826,54,624,0
827,580,1778,1
830,130,592,0
831,748,1656,1
833,1159,1563,0
837,83,681,0
838,378,1620,1
839,348,1690,1
841,738,1526,1
843,27,585,0
844,318,1690,1
846,470,1548,1
847,149,514,0
848,79,614,0
849,195,574,0
850,1142,1549,0
851,1020,1637,0
852,167,513,0
853,1003,1527,0
854,452,1466,1
856,1164,1697,0
857,466,1568,1
858,508,1916,1
859,80,553,0
861,362,1986,1
863,1094,1614,0
864,1189,1646,0
866,40,532,0
870,490,1604,1
871,1148,1640,0
872,193,626,0
873,322,1884,1
874,1065,1592,0
877,113,623,0
878,75,597,0
879,24,540,0
880,40,587,0
881,320,1664,1
882,1155,1688,0
883,444,1570,1
884,314,1572,1
885,1170,1591,0
887,77,516,0
888,122,620,0
890,400,1586,1
891,159,502,0
892,1104,1667,0
895,1185,1610,0
896,137,682,0
897,1184,1556,0
901,316,1404,1
902,1136,1587,0
903,173,660,0
906,188,548,0
907,52,501,0
908,145,699,0
909,496,1522,1
910,27,577,0
914,1189,1605,0
915,192,686,0
916,1099,1594,0
919,99,553,0
921,136,530,0
922,1064,1560,0
923,496,1620,1
926,388,1512,1
928,108,658,0
930,70,646,0
931,1063,1604,0
932,1122,1666,0
933,1096,1626,0
934,1138,1509,0
935,1072,1589,0
936,57,600,0
937,162,629,0
938,135,558,0
939,60,676,0
940,682,1992,1
941,14,639,0
942,1101,1575,0
943,84,665,0
944,1077,1555,0
945,139,624,0
946,618,1550,1
947,26,509,0
948,334,1610,1
949,1085,1558,0
952,24,658,0
953,1088,1523,0
957,418,1562,1
961,1134,1562,0
962,1119,1610,0
964,1107,1630,0
967,440,1628,1
968,1200,1586,0
969,1120,1508,0
970,1165,1644,0
974,141,509,0
976,350,1648,1
977,53,639,0
978,4,559,0
979,1187,1511,0
980,470,1604,1
981,28,516,0
982,1069,1557,0
985,1106,1525,0
986,1086,1622,0
988,1172,1595,0
989,1074,1511,0
990,414,1714,1
991,736,1654,1
992,1166,1596,0
993,74,514,0
995,762,1810,1
997,99,532,0
1000,454,1536,1
1001,1101,1698,0
1005,1021,1637,0
1007,147,651,0
1009,42,502,0
1012,354,1674,1
1014,364,1676,1
1015,454,1530,1
1016,173,580,0
1017,11,576,0
1019,1128,1689,0
1021,109,673,0
1022,1175,1697,0
1023,784,1648,1
1024,1108,1685,0
1025,162,698,0
1026,1046,1528,0
1030,1168,1583,0
1031,764,1562,1
1032,137,605,0
1034,452,1746,1
1035,91,512,0
1036,428,1588,1
1037,1040,1579,0
1038,1180,1634,0
1039,157,596,0
1040,199,651,0
1041,320,1518,1
1043,1184,1694,0
1046,1011,1516,0
1047,45,537,0
1048,1142,1573,0
1051,300,1610,1
1052,770,1624,1
1053,1194,1598,0
1054,1044,1569,0
1055,800,1692,1
1056,1107,1575,0
1059,352,1700,1
1060,1074,1579,0
1061,404,1696,1
1062,794,1694,1
1063,750,1634,1
1064,81,605,0
1066,176,594,0
1068,85,535,0
1069,1010,1610,0
1071,71,570,0
1072,32,689,0
1073,192,672,0
1074,1052,1534,0
1075,1110,1678,0
1076,7,517,0
1077,434,1616,1
1078,1125,1518,0
1083,1138,1532,0
1084,1192,1583,0
1086,482,1588,1
1088,45,597,0
1089,1,669,0
1090,1069,1565,0
1095,442,1624,1
1096,356,1736,1
1097,79,534,0
1098,1042,1522,0
1099,1130,1636,0
1100,474,1864,1
1102,1149,1545,0
1103,1012,1527,0
1104,67,515,0
1105,1105,1674,0
1106,67,593,0
1107,1048,1602,0
1108,182,544,0
1109,124,550,0
1110,466,1608,1
1111,740,1694,1
1113,482,1638,1
1114,1171,1687,0
1115,167,671,0
1116,50,566,0
1117,164,676,0
1118,14,586,0
1119,1014,1649,0
1120,29,682,0
1122,184,672,0
1123,1040,1581,0
1124,318,1704,1
1125,114,527,0
1127,25,691,0
1128,498,1698,1
1129,52,612,0
1130,142,694,0
1131,97,569,0
1132,784,1874,1
1134,1181,1579,0
1135,798,1642,1
1136,340,1682,1
1137,70,595,0
1138,80,616,0
1139,782,1618,1
1141,75,540,0
1142,1038,1533,0
1146,88,539,0
1147,171,519,0
1148,114,661,0
1149,324,1662,1
1150,1133,1575,0
1152,158,643,0
1154,490,1654,1
1155,488,1670,1
1156,788,1574,1
1157,79,584,0
1159,177,677,0
1162,726,1672,1
1163,191,517,0
1166,100,688,0
1167,1130,1524,0
1168,470,1558,1
1169,1127,1585,0
1170,1017,1680,0
1171,1095,1602,0
1172,1094,1561,0
1173,682,1772,1
1174,1172,1530,0
1175,1084,1617,0
1176,1104,1577,0
1179,1048,1578,0
1180,1015,1664,0
1181,1187,1534,0
1182,388,1640,1
1183,1177,1685,0
1185,1008,1540,0
1186,79,651,0
1187,428,1962,1
1188,1110,1564,0
1189,191,582,0
1190,784,1516,1
1191,1159,1522,0
1192,304,1666,1
1193,192,532,0
1194,53,517,0
1196,134,647,0
1198,1197,1521,0
1199,1113,1698,0
1200,760,1614,1
1202,1122,1618,0
1203,1080,1659,0
1204,99,680,0
1205,1125,1573,0
1207,192,650,0
1208,1072,1514,0
1210,4,571,0
1211,470,1512,1
1213,1076,1528,0
1214,580,1456,1
1215,1195,1611,0
1217,610,1650,1
1223,472,1654,1
1224,133,510,0
1228,152,528,0
1229,1133,1656,0
1230,154,628,0
1231,1177,1635,0
1234,508,1630,1
1235,1029,1673,0
1236,1147,1519,0
1237,11,676,0
1240,2,516,0
1241,1028,1680,0
1242,1180,1542,0
1244,1114,1681,0
1245,768,1986,1
1246,1123,1595,0
1247,1091,1502,0
1248,420,1884,1
1250,1165,1529,0
1251,1127,1505,0
1252,13,592,0
1253,1138,1682,0
1255,1095,1515,0
1256,728,1640,1
1257,49,548,0
1258,1177,1554,0
1259,1018,1521,0
1261,476,1830,1
1262,1079,1555,0
1264,105,512,0
1265,1157,1559,0
1266,39,586,0
1267,1157,1637,0
1268,1111,1611,0
1269,1009,1601,0
1270,33,560,0
1271,46,679,0
1272,732,1562,1
1273,1075,1558,0
1274,157,671,0
1275,1025,1616,0
1276,426,1578,1
1277,1119,1594,0
1278,486,1596,1
1281,154,645,0
1282,150,620,0
1283,177,629,0
1284,410,1694,1
1285,121,684,0
1290,1153,1567,0
1291,191,639,0
1292,105,670,0
1293,191,619,0
1296,1057,1536,0
1298,1145,1600,0
1299,1107,1557,0
1300,1196,1517,0
1301,1161,1642,0
1302,416,1594,1
1303,716,1574,1
1310,20,617,0
1311,182,677,0
1312,732,1592,1
1314,23,683,0
1315,167,542,0
1317,9,599,0
1318,1044,1579,0
1320,180,676,0
1322,750,1606,1
1323,97,655,0
1324,102,648,0
1325,394,1822,1
1328,386,1534,1
1329,195,506,0
1330,1032,1555,0
1333,33,668,0
1336,163,694,0
1338,764,1874,1
1341,1119,1663,0
1342,326,1550,1
1343,180,602,0
1344,104,615,0
1346,444,1688,1
1347,338,1464,1
1348,708,1932,1
1351,1057,1622,0
1352,10,604,0
1353,794,1574,1
1354,776,1556,1
1356,1055,1517,0
1357,478,1412,1
1359,494,1596,1
1360,338,1546,1
1362,200,555,0
1366,742,1568,1
1367,1024,1619,0
1368,161,695,0
1369,109,674,0
1371,1176,1628,0
1372,682,1894,1
1373,1155,1571,0
1374,1168,1669,0
1375,68,553,0
1378,1138,1557,0
1380,388,1600,1
1382,1146,1556,0
1383,1085,1628,0
1384,35,565,0
1385,1027,1568,0
1386,1106,1691,0
1387,63,523,0
1388,302,1638,1
1389,198,693,0
1391,134,582,0
1393,198,613,0
1394,1076,1517,0
1396,1200,1527,0
1397,1048,1519,0
1398,404,1578,1
1400,422,1486,1
1401,402,1496,1
1402,1050,1605,0
1403,1078,1577,0
1404,1191,1513,0
1406,1061,1563,0
1407,1125,1559,0
1408,76,622,0
1409,79,543,0
1410,20,670,0
1412,1102,1623,0
1413,165,574,0
1414,1187,1568,0
1416,109,555,0
1418,394,1692,1
1419,488,1934,1
1421,72,579,0
1422,1186,1664,0
1423,446,1604,1
1425,1089,1507,0
1426,1176,1678,0
1427,102,526,0
1428,52,644,0
1429,358,1564,1
1430,1193,1518,0
1431,1162,1680,0
1432,318,1838,1
1433,119,638,0
1434,1090,1698,0
1436,350,1586,1
1437,25,517,0
1438,162,679,0
1439,1034,1540,0
1441,1184,1658,0
1445,159,533,0
1447,1134,1690,0
1448,50,631,0
1449,682,1858,1
1451,1083,1558,0
1452,23,623,0
1454,55,612,0
1455,1101,1548,0
1458,1181,1621,0
1460,13,629,0
1461,1078,1519,0
1462,1175,1572,0
1465,374,1902,1
1467,39,531,0
1469,776,1924,1
1470,1112,1549,0
1471,185,512,0
1472,151,651,0
1473,682,1574,1
1474,1096,1500,0
1476,708,1494,1
1477,762,1510,1
1479,466,1600,1
1480,1056,1557,0
1481,52,552,0
1482,1180,1521,0
1483,792,1564,1
1484,1043,1537,0
1485,478,1574,1
1487,1171,1547,0
1489,776,1818,1
1490,1132,1675,0
1491,1181,1552,0
1492,720,1868,1
1493,1183,1614,0
1494,73,502,0
1496,166,637,0
1497,380,1528,1
1498,171,630,0
1499,1060,1668,0
1501,442,1632,1
1502,800,1866,1
1503,139,640,0
1504,193,598,0
1506,185,659,0
1507,710,1638,1
1509,1047,1632,0
1510,1053,1687,0
1511,1051,1642,0
1512,127,667,0
1513,1032,1561,0
1514,1158,1617,0
1515,130,532,0
1516,1093,1643,0
1518,125,658,0
1519,174,659,0
1520,109,627,0
1522,39,538,0
1523,169,647,0
1524,1122,1624,0
1525,752,1572,1
1527,6,635,0
1528,1021,1693,0
1530,124,556,0
1531,33,522,0
1534,92,571,0
1535,1103,1526,0
1537,376,1592,1
1540,184,605,0
1541,96,579,0
1543,1089,1566,0
1544,486,1516,1
1545,142,650,0
1546,1119,1522,0
1547,376,1574,1
1548,1168,1540,0
1551,1145,1547,0
1552,167,667,0
1554,1004,1641,0
1555,742,1640,1
1556,59,588,0
1558,1068,1516,0
1561,136,668,0
1562,1006,1507,0
1564,326,1668,1
1565,63,616,0
1566,1134,1505,0
1567,740,1666,1
1568,19,683,0
1569,30,628,0
1572,139,659,0
1573,368,1632,1
1574,386,1662,1
1575,470,1616,1
1576,756,1526,1
1577,736,1552,1
1578,1025,1626,0
1579,1021,1528,0
1580,758,1650,1
1581,1160,1533,0
1582,1175,1512,0
1583,438,1650,1
1586,1058,1674,0
1589,1069,1683,0
1591,149,512,0
1592,1173,1577,0
1593,62,552,0
1597,1132,1613,0
1598,800,1940,1
1599,488,1414,1
1606,326,1598,1
1608,116,664,0
1609,33,626,0
1611,1011,1634,0
1612,26,542,0
1614,1198,1665,0
1616,364,1846,1
1617,138,539,0
1618,488,1790,1
1622,1070,1667,0
1625,1124,1628,0
1627,1057,1689,0
1628,1038,1536,0
1629,1074,1529,0
1630,516,1744,1
1631,300,1618,1
1634,150,636,0
1635,54,678,0
1636,9,677,0
1639,167,650,0
1640,356,1704,1
1641,350,1772,1
1642,1031,1576,0
1644,1061,1638,0
1645,164,500,0
1646,484,1834,1
1647,1144,1685,0
1648,1022,1543,0
1649,1018,1579,0
1652,1006,1699,0
1653,11,674,0
1655,93,617,0
1656,1144,1638,0
1657,193,670,0
1658,1065,1672,0
1659,1021,1666,0
1660,84,632,0
1662,454,1554,1
1663,330,1660,1
1664,580,1950,1
1665,516,1842,1
1667,374,1670,1
1668,1116,1682,0
1670,1023,1527,0
1672,22,685,0
1673,1121,1521,0
1675,118,675,0
1678,380,1924,1
1679,1159,1579,0
1680,750,1522,1
1682,1096,1582,0
1683,1089,1534,0
1684,1117,1621,0
1685,84,547,0
1686,1077,1600,0
1687,1023,1691,0
1689,136,519,0
1690,318,1494,1
1693,198,534,0
1694,1029,1563,0
1699,1152,1534,0
1701,414,1900,1
1704,1131,1500,0
1705,1081,1641,0
1706,1074,1663,0
1707,1180,1672,0
1708,1098,1554,0
1709,706,1670,1
1710,610,1642,1
1711,716,1684,1
1712,1199,1572,0
1715,97,664,0
1716,46,549,0
1718,1078,1552,0
1721,1037,1691,0
1722,1104,1594,0
1723,1121,1668,0
1724,76,624,0
1725,103,521,0
1726,516,1914,1
1727,81,614,0
1728,318,1618,1
1729,770,1648,1
1730,418,1438,1
1731,87,550,0
1733,444,1702,1
1737,722,1608,1
1741,30,684,0
1742,1,613,0
1743,414,1642,1
1745,1020,1537,0
1746,1169,1511,0
1747,490,1532,1
1748,746,1660,1
1750,94,651,0
1751,1162,1597,0
1752,12,683,0
1754,14,648,0
1756,199,649,0
1759,1057,1664,0
1760,143,655,0
1763,774,1992,1
1764,128,624,0
1765,118,623,0
1766,197,631,0
1767,478,1548,1
1768,508,1436,1
1769,1044,1550,0
1770,45,677,0
1772,300,1572,1
1774,104,528,0
1775,1091,1674,0
1776,161,648,0
1777,77,612,0
1778,16,570,0
1779,103,519,0
1780,148,501,0
1781,1079,1687,0
1782,1001,1606,0
1783,82,515,0
1785,1142,1655,0
1787,1066,1684,0
1788,1086,1613,0
1789,40,629,0
1791,113,558,0
1792,1100,1670,0
1793,9,580,0
1794,484,1672,1
1795,1075,1636,0
1796,1086,1620,0
1799,1195,1655,0
1802,1192,1653,0
1803,31,552,0
1804,199,623,0
1805,59,574,0
1807,1026,1550,0
1812,764,1650,1
1813,332,1860,1
1814,344,1610,1
1816,77,558,0
1817,44,635,0
1818,1050,1632,0
1820,708,1852,1
1822,173,594,0
1823,1176,1523,0
1824,1086,1646,0
1825,1081,1640,0
1827,316,1710,1
1829,1144,1575,0
1831,1130,1628,0
1832,1103,1687,0
1833,197,679,0
1834,738,1586,1
1835,1127,1686,0
1836,1200,1697,0
1837,73,618,0
1838,68,688,0
1842,76,544,0
1844,81,535,0
1845,66,522,0
1846,800,1918,1
1847,22,574,0
1848,39,606,0
1849,1156,1591,0
1850,790,1508,1
1851,1026,1690,0
1854,192,554,0
1856,302,1624,1
1857,20,686,0
1858,1171,1600,0
1859,1053,1640,0
1862,188,534,0
1863,1031,1570,0
1865,312,1550,1
1867,125,624,0
1870,1099,1609,0
1871,188,589,0
1874,1045,1575,0
1875,196,630,0
1876,8,580,0
1878,1107,1660,0
1879,1083,1646,0
1880,1130,1594,0
1881,160,630,0
1882,342,1724,1
1883,103,670,0
1884,12,618,0
1886,10,657,0
1887,93,555,0
1890,1016,1526,0
1892,370,1656,1
1893,11,646,0
1894,62,506,0
1895,770,1620,1
1898,4,688,0
1899,1155,1626,0
1901,172,613,0
1903,414,1730,1
1905,406,1616,1
1906,1091,1578,0
1908,800,1740,1
1910,728,1512,1
1911,172,504,0
1912,1167,1502,0
1914,752,1632,1
1918,137,653,0
1920,117,521,0
1921,1039,1620,0
1922,23,508,0
1923,708,1902,1
1924,730,1702,1
1925,9,694,0
1926,179,600,0
1928,412,1572,1
1930,1031,1549,0
1931,185,611,0
1933,718,1546,1
1937,1188,1693,0
1938,147,628,0
1940,718,1602,1
1944,130,596,0
1945,758,1708,1
1946,1012,1582,0
1948,139,689,0
1949,135,591,0
1952,1062,1539,0
1953,1046,1635,0
1955,1144,1511,0
1956,146,519,0
1957,75,654,0
1959,1065,1646,0
1961,434,1708,1
1962,63,542,0
1963,32,608,0
1964,1033,1628,0
1965,1028,1514,0
1970,338,1800,1
1972,102,546,0
1973,13,522,0
1978,169,688,0
1980,1158,1504,0
1982,1144,1669,0
1986,468,1544,1
1988,798,1546,1
1989,1089,1610,0
1994,1161,1687,0
1996,7,651,0
1997,92,673,0
1998,1025,1661,0
1999,308,1846,1
2001,350,1962,1
2002,334,1552,1
2003,38,545,0
2004,400,1670,1
2005,414,1886,1
2007,1007,1526,0
2008,120,506,0
2009,1020,1652,0
2010,147,536,0
2011,1138,1648,0
2012,1034,1577,0
2014,99,522,0
2016,64,679,0
2017,364,1624,1
2018,1039,1631,0
2019,42,619,0
2020,45,546,0
2022,1078,1500,0
2024,94,557,0
2025,6,688,0
2027,1198,1639,0
2029,1134,1520,0
2031,155,664,0
2032,1080,1558,0
2035,178,640,0
2036,178,649,0
2037,1033,1647,0
2038,1149,1619,0
2041,1096,1533,0
2042,1,598,0
2043,12,677,0
2044,66,588,0
2047,420,1938,1
2048,742,1594,1
2049,1162,1521,0
2050,758,1546,1
2051,169,569,0
2052,1150,1696,0
2055,310,1604,1
2056,450,1638,1
2058,73,662,0
2059,1175,1541,0
2061,1139,1551,0
2064,1076,1596,0
2065,1048,1526,0
2066,342,1620,1
2067,68,610,0
2068,1126,1631,0
2069,34,678,0
2071,1142,1517,0
2072,21,519,0
2073,1038,1514,0
2077,102,565,0
2079,1086,1563,0
2081,52,604,0
2082,1015,1683,0
2084,716,1626,1
2087,490,1612,1
2088,136,540,0
2091,73,641,0
2092,318,1676,1
2093,1049,1619,0
2094,1069,1555,0
2098,1073,1612,0
2099,1119,1556,0
2102,440,1616,1
2103,194,670,0
2104,141,540,0
2105,40,597,0
2106,1188,1518,0
2107,19,554,0
2108,800,1562,1
2109,408,1534,1
2110,1,537,0
2111,1096,1507,0
2112,1065,1698,0
2114,154,505,0
2115,79,533,0
2117,27,621,0
2118,67,541,0
2119,1013,1656,0
2120,1142,1515,0
2121,1128,1510,0
2123,144,507,0
2124,1061,1692,0
2125,1147,1677,0
2127,22,552,0
2129,121,591,0
2132,1081,1634,0
2133,127,639,0
2135,1099,1525,0
2136,72,623,0
2139,44,581,0
2141,76,668,0
2142,68,645,0
2143,1096,1561,0
2144,161,518,0
2146,57,626,0
2147,760,1590,1
2149,372,1574,1
2150,1057,1574,0
2151,28,500,0
2153,1059,1577,0
2154,750,1588,1
2155,1161,1508,0
2157,62,586,0
2158,366,1566,1
2159,131,581,0
2161,1186,1634,0
2163,1068,1540,0
2164,25,680,0
2165,744,1554,1
2166,153,655,0
2167,1101,1669,0
2168,490,1830,1
2169,1032,1511,0
2170,1064,1556,0
2172,1154,1599,0
2174,88,557,0
2176,1019,1583,0
2177,1121,1576,0
2178,1001,1523,0
2179,164,667,0
2180,1195,1646,0
2181,420,1744,1
2182,1193,1592,0
2184,1036,1591,0
2185,94,559,0
