,ID,text,clean_text
74,780,"Earlier, we said that Andhra Pradesh has two houses. The second house is called the Legislative Council. It has been in existence in two spells from - and from till today. It is a permanent house. Members of this house, known as MLCs are elected for six years. After every two years, one-third of its members retire. To contest in this house, a person should be a citizen of India and above years of age. He or she should not hold any office of profit under the State or Indian government and must possess such other qualifications as may be prescribed by the Parliament. It consists of members. The Composition is as follows:",earlier andhra pradesh house house called legislative council existence spell till today permanent house member house mlcs elected year year onethird member retire contest house person citizen india year age he she hold office profit state indian government posse qualification prescribed parliament consists member composition
75,337,The diagram of the Respiratory System of man is given here .,diagram respiratory man
76,1479,The Sankey diagram for an incandescent light bulb is shown below,sankey diagram incandescent light bulb
77,1080,This machine is run by electric power .,machine electric power
78,1323,Annakutti: I find it funny that the President is the Supreme Commander of Armed Forces. I doubt if the President can even lift a heavy gun. What is the point in making the President the Commander?,annakutti funny president supreme commander armed force doubt president lift heavy gun point making president commander
79,862,"Both male and female have 44 autosomes , A and a pair of sex chromosome .",male female autosome pair sex chromosome
80,1356,. Social divisions based on _________ are peculiar to India.,social division based _________ peculiar india
81,249,Men wear trousers and shirts .,men wear trouser shirt
82,840,Buying books and other things for school-going girls is a luxury he cannot afford.,buying book thing schoolgoing girl luxury he afford
83,1908,The earth continues to rotate on its axis while it is revolving around the Sun .,earth continues rotate axis revolving sun
84,1430,Remove the ammeter and close the circuit again.,remove ammeter close circuit
85,378,No human being can appoint another human being as his slave .,human appoint human his slave
86,1560,After fertilization ovary turns into a fruit and the ovules into seeds .,fertilization ovary turn fruit ovule seed
87,1450,Nearly two-fifth of all rural families are agricultural labourers in our country. There are some who have small plots of land while others like Thulasi are landless.,twofifth rural family agricultural labourer country small plot land thulasi landless
88,256,He will be careful in all his performances .,he careful his performance
89,1180,These unusually fast flows of air are called storms .,unusually fast flow air called storm
90,829,He is appointed by the Government .,he appointed government
91,596,Due to lack of vitamin A man suffers from eyesight weakness .,lack vitamin man suffers eyesight weakness
92,155,"Styles in long jump : Action in the Air - Sail Technique : While in the air : After taking a jump athlete should bring both his feet forward and raise them as high as possible and body should lean forward , arms should be on side of the feet .",style long jump action air sail technique air jump athlete bring his foot forward raise high body lean forward arm foot
93,239,It is thus possible to fully utilize his ability and skill in production .,fully utilize his ability skill production
94,703,This may be used to rest the players who just nished g. . g. . his raid .,rest player nished his raid
95,1685,"Hence , they are called exhaustible resources .",called exhaustible resource
96,1703,Have you ever seen the wires made up,wire
97,924,Agriculture is conducted here so that the farmer can sell his product in the market and earn profit .,agriculture conducted farmer sell his product market earn profit
98,1260,( b ) Fig. . - Examples of matter in solid state Fig. . Close arrangement of molecules in solid TO THINK Sponge is also a solid .,fig example matter solid state fig close arrangement molecule solid sponge solid
99,653,DNA studies show that Neanderthal man and modern man separated years ago .,dna study neanderthal man modern man separated year ago
100,1570,Why do you think merchants brought gifts for the king?,merchant brought gift king
101,1634,"A. [with a smile] a scintillating performance by us. It was thrilling you know , defeating kangaroos in their home ground is a daunting task. The win is a feather in our cap.",smile scintillating performance thrilling defeating kangaroo ground daunting task win feather cap
102,725,"So , the adolescent boys and girls must be very confident and strong minded .",adolescent boy girl confident strong minded
103,1761,Then teacher draws two starting line at a distance of - mtrs .,teacher draw starting distance mtrs
104,1777,a. SO + O SO b. CaCO CaO + CO c. HO + SO HSO d. Na + H O NaOH + H II .,caco cao hso naoh
105,604,"After coming back to house , if he does not like the item he may return it .",coming house he item he return
106,1559,"The air in the troposphere is in constant motion. As it is warmed by the Earth, the warm air moves away and gets replaced by cooler air which travels in convection currents. This is the basis for cloud formation and weather patterns. All the Earth's weather systems take place close to the Earth in the troposphere.",air troposphere constant motion warmed earth warm air move replaced cooler air travel convection current basis cloud formation weather pattern earth weather system place close earth troposphere
107,1195,"Now take a water filled test tube , hold it inverted over the mouth of the delivery tube and collect the oxygen in the test tube .",water filled test tube hold inverted mouth delivery tube collect oxygen test tube
108,1492,Effects of net force on direction of moving object,effect net force direction moving object
109,398,"The Shanars (also called Nadars) were a community of toddy tappers who migrated to southern Travancore to work under Nair landlords. As they were considered a subordinate caste , they were prohibited from using umbrellas and wearing shoes or golden ornaments. Men and women were also expected to follow the local custom of never covering their upper bodies before the upper castes.",shanars called nadars community toddy tapper migrated southern travancore work nair landlord considered subordinate caste prohibited umbrella wearing shoe golden ornament men woman expected follow local custom covering upper body upper caste
110,456,From very ancient time men have been preparing and using soap as a cleaning agent .,ancient time men preparing soap cleaning agent
111,282,"Now let's learn how plants make seeds. In sexual reproduction, half of the male's and half of the female's genetic material (DNA) fuses (combines) to create a new individual with the combined genetic materials of the parent plants or animals. In most animals we can usually easily identify two sexes of animals: a male or a female animal, which each have male and female parts. In angiosperms, the flowers are the sexual organs of the plant. The flowers produce male and female structures that can either be on the same plant or can be on two separate plants. Let us have a closer look at the structures of flowers.",learn plant seed sexual reproduction half male half female genetic material dna fuse combine create individual combined genetic material parent plant animal animal easily identify sex animal male female animal male female part angiosperm flower sexual organ plant flower produce male female structure plant separate plant closer structure flower
112,1166,"b ) Diseases of animals and birds : Some of the diseases caused by bacteria are Tuberculosis of cattle , Cholera of poultry etc .",disease animal bird disease caused bacteria tuberculosis cattle cholera poultry
113,742,"As the saying goes , he who has no eyes has nothing .",he eye
114,1944,He takes tourists on trips to certain areas where they can see the wildlife and birds .,he take tourist trip area wildlife bird
115,125,"She also exports tobacco , sago , different spices , coconut kernel and oil , coffee and products of cottage industries .",she export tobacco sago spice coconut kernel oil coffee product cottage industry
116,260,He was an adopted son of weaving Muslim couple Neeru and Neema of Varanasi .,he adopted son weaving muslim couple neeru neema varanasi
117,1889,Plastic is also a type of chemical substance .,plastic type chemical substance
118,1342,Bangladesh is a country of six seasons .,bangladesh country season
119,548,Men fall sick after taking contaminated food .,men fall sick contaminated food
120,1882,For production and better growth of buds at the lower region in many cases the apical bud is removed .,production growth bud lower region case apical bud removed
121,1843,. Right to Productive and Safe Employment: so that every worker can work according to his or her skill and capacity and work under safe conditions without endangering their health.,productive safe employment worker work his her skill capacity work safe condition endangering health
122,14,Among the students teacher appoints one student as a policeman and ask him to stand little away from the circle .,student teacher appoints student policeman him stand circle
123,1534,"The countries included are South and East China , the Philippines , Vietnam , Laos , Cambodia , Thailand , Myanmar , Bangladesh , India , Sri Lanka and Pakistan .",country included south east china philippine vietnam lao cambodia thailand myanmar bangladesh india sri lanka pakistan
124,1914,The colonisation of Vietnam by the French brought the people of the country into conflict with the colonisers in all areas of life. The most visible form of French control was military and economic domination but the French also built a system that tried to reshape the culture of the Vietnamese. Nationalism in Vietnam emerged through the efforts of different sections of society to fight against the French and all they represented.,colonisation vietnam french brought people country conflict coloniser area life visible form french control military economic domination french built reshape culture vietnamese nationalism vietnam emerged effort section society fight french represented
125,1290,Mitosis is also termed as equational division .,mitosis termed equational division
126,631,"Copper sulphate crystals often include water. A chemist is trying to determine the number of moles of water in the copper sulphate crystals. She weighs out of copper sulphate and heats this. After heating, she finds that the mass is . What is the number of moles of water in the crystals? (Copper sulphate is represented by ).",copper sulphate crystal include water chemist determine number mole water copper sulphate crystal she weighs copper sulphate heat heating she find mass number mole water crystal copper sulphate represented
127,1161,What objects do you think we make out of iron where these properties are desirable?,object iron property desirable
128,192,"The reason is very simple. In a democracy the will of the people is supreme. The minister is elected by the people and thus empowered to exercise the will of the people on their behalf. She is finally answerable to the people for all the consequences of her decision. That is why the minister takes all the final decisions. The minister decides the overall framework and objectives in which decisions on policy should be made. The minister is not, and is not expected to be, an expert in the matters of her ministry. The minister takes the advice of experts on all technical matters. But very often experts hold different opinions or place before her more than one option. Depending on what the overall objective is, the minister decides.",reason simple democracy people supreme minister elected people empowered exercise people behalf she finally answerable people consequence her decision minister take final decision minister decides framework objective decision policy minister expected expert matter her ministry minister take advice expert technical matter expert hold opinion place her option depending objective minister decides
129,1515,"However , observation under microscope reveals some differences between them .",observation microscope reveals difference
130,1983,"Rickets ( disorder of bones , bowed legs ) .",rickets disorder bone bowed leg
131,1660,The scientific study of weather is called ' Meteorology ' .,scientific study weather called meteorology
132,1140,Can we call these sources of energy? Why or why not?,source energy
133,1231,Plants are required to absorb the primary constituents of these chemical substances from the environment .,plant required absorb primary constituent chemical substance environment
134,1491,cutting off the supply of air by using sand or blanket ; .,cutting supply air sand blanket
135,1192,"The left arm which bent at the elbow , also be parallel to the ground .",left arm bent elbow parallel ground
136,1988,"In March , the Indian Flag was hoisted in Kohima. But with the change of fortunes in the war, the launching of a counter-offensive by the British in the winter of - and the final defeat of Japan in the Second World War the INA movement collapsed. On August rd, , Subhash Chandra Bose is reported to have lost his life in an air crash while going from Bangkok to Tokyo.",march indian flag hoisted kohima change fortune war launching counteroffensive british winter final defeat japan war ina movement collapsed august subhash chandra bose reported lost his life air crash bangkok tokyo
137,588,Anitha 's mother mixed jeera with wheat flour .,anitha mother mixed jeera wheat flour
138,405,The living style of man in pre-historic period .,living style man prehistoric period
139,1731,"Allen Octavian Hume British civil servant Umesh Chandra Banerji First President , Congress A Few Presidents of India National Congress Syed Badrudhin Tyabji Firodhshah Mehtha Objectives of the Indian National Congress : To bring together and build a strong bonding between the political activists of different parts of the nation .",allen octavian hume british civil servant umesh chandra banerji president congress president india national congress syed badrudhin tyabji firodhshah mehtha objective indian national congress bring build strong bonding political activist part nation
140,227,He has the power to recommend the removal of the Ministers to the President .,he power recommend removal minister president
141,920,Fig.. shows a sculpture panel depicting the stupa. Can you see some flying figures on the top? These are supposed to be gods from heavens who came to worship the Buddha.,fig sculpture panel depicting stupa flying figure supposed god heaven worship buddha
142,1415,This covering has several mechanisms to prevent germs .,covering mechanism prevent germ
143,651,Men and women of all ages participate in this celebration .,men woman age participate celebration
144,1315,"Depending on your teacher, he or she will either make a hot box as a demonstration in class, or else you are required to design and make your own hot box.",depending teacher he she hot box demonstration class required design hot box
145,1535,"The neutron is electrically neutral i.e. it carries no charge at all. Like the proton, it is much heavier than the electron and its mass is (slightly heavier than the proton).",neutron electrically neutral carry charge proton heavier electron mass heavier proton
146,982,Your mother prepares breakfast for you every morning .,mother prepares breakfast morning
147,1447,Take a piece turmeric paper. Find as many of the substances given in the table- as possible and put them on the turmeric paper one by one. You could try using other substances around you as well.,piece turmeric paper substance table turmeric paper substance
148,1289,(ii) What kind of road passes by the side of village Dumri?,kind road pass village dumri
149,1748,Mayur Varma He was a Brahmin and had been to Kanchi for his higher education .,mayur varma he brahmin kanchi his higher education
150,846,"[SC / SG] A car is driven at in a municipal area. When the driver sees a traffic officer at a speed trap, he realises he is travelling too fast. He immediately applies the brakes of the car while still away from the speed trap.",sg car driven municipal area driver see traffic officer speed trap he realises he travelling fast he applies brake car speed trap
151,496,The trader gave me seeds and fertilisers as a loan. To pay back this loan I have to sell my paddy to him at a somewhat lower price than what I would get in the market. He has sent his agent to remind farmers who have taken loans that they will sell the paddy only to him.,trader seed fertiliser loan pay loan sell paddy him lower price market he his agent remind farmer loan sell paddy him
152,615,Hardly any labourer has his own land .,labourer his land
153,841,"The necessity of food intakes like protein , vitamin and mineral salt is essential for the grown up boys and girls .",necessity food intake protein vitamin mineral salt essential grown boy girl
154,306,"We daily starve, having had no foodgrain in our possession. The only wealth we possess is our axe. We have no clothes to cover our body with, but we pass cold nights by the fireside. We are now dying for want of food. We cannot go elsewhere. What fault have we done that the government does not take care of us? Prisoners are supplied with ample food in jail. A cultivator of the grass is not deprived of his holding, but the government does not give us our right who have lived here for generations past.",daily starve foodgrain possession wealth posse axe clothes cover body pas cold night fireside dying food fault government care prisoner supplied ample food jail cultivator grass deprived his holding government lived generation
155,1558,(v) On which side of the railway line do the following lie :,railway lie
156,1082,Further cooling of causes condensation resulting in orographic or mountain rainfall .,cooling condensation orographic mountain rainfall
157,1770,Activity . : Have you heard the name of Saalumarada Thimmakka ?,activity heard saalumarada thimmakka
158,1547,A flat board is required to beat clothes for washing .,flat board required beat clothes washing
159,54,Her mother had prepared carrot halwa for her birthday .,her mother prepared carrot halwa her birthday
160,758,"The Constitution does not say very much about the powers of the Prime Minister or the ministers or their relationship with each other. But as head of the government, the Prime Minister has wide ranging powers. He chairs Cabinet meetings. He coordinates the work of different Departments. His decisions are final in case disagreements arise between Departments. He exercises general supervision of different ministries. All ministers work under his leadership. The Prime Minister distributes and redistributes work to the ministers. He also has the power to dismiss ministers. When the Prime Minister quits, the entire ministry quits.",constitution power prime minister minister relationship head government prime minister wide ranging power he chair cabinet meeting he coordinate work department his decision final case disagreement department he exercise general supervision ministry minister work his leadership prime minister distributes redistributes work minister he power dismiss minister prime minister quits entire ministry quits
161,845,"But gradually , his body develops antibodies against Rh factor .",gradually his body develops antibody factor
162,1633,In this way people came to an understanding that earth rotates on its axis.,people understanding earth rotates axis
163,91,Rayon is a man - made fibre .,rayon man fibre
164,1081,"Kunwar Sing Nana Saheb Consequences : Though the struggle failed , it created a long lasting effect .",kunwar sing nana saheb consequence struggle failed created long lasting
165,1973,The soap solution from the crutcher is dropped from the top towards the bottom in a drying tower and hot air is passed from the bottom towards the top of the tower .,soap solution crutcher dropped drying tower hot air passed tower
166,1779,Food web : Previously we came to know that any food chain cannot remain scattered in nature .,food web food chain remain scattered nature
167,43,"When your father brings vegetables and fruits , you help him to separate them .",father brings vegetable fruit him separate
168,1440,The population of a country decreases due to emigration .,population country decrease emigration
169,903,". A person needs a lens of power . dioptres for correcting his distant vision. For correcting his near vision he needs a lens of power +. dioptre. What is the focal length of the lens required for correcting (i) distant vision, and (ii) near vision?",person lens power dioptre correcting his distant vision correcting his vision he lens power dioptre focal length lens required correcting distant vision vision
170,1298,"Though the number of major industries is less in this division , thousands of small scale and medium scale industries are active here .",number major industry division thousand small scale medium scale industry active
171,1846,Find out stories prevalent in your region which are about the harmonious relationship between human beings and nature.,story prevalent region harmonious relationship human being nature
172,1989,The stage of the embryo in which all the body parts are identifiable is called foetus.,stage embryo body part identifiable called foetus
173,715,"Sir John Sargeant , who was the Chairman of Central Advisory Board of Education , was the Chairman of the Commission .",sir john sargeant chairman central advisory board education chairman commission
174,455,Example . A porter lifts a luggage of kg from the ground and puts it on his head . m above the ground. Calculate the work done by him on the luggage.,porter lift luggage ground put his head ground calculate work him luggage
175,463,"In this section, we will be talking about sex cells. These are either male or female sex cells and only carry half the genetic material (DNA) of a typical cell. When these sex cells fuse the two halves from the male and the female organism make a new organism with the combined genetic material (DNA) from both.",talking sex cell male female sex cell carry half genetic material dna typical cell sex cell fuse half male female organism organism combined genetic material dna
176,1473,During this time it gets very hot The temperature rises up to24 - degrees Celsius .,time hot temperature rise to24 degree celsius
177,1316,The value of g at the centre of the earth is zero .,centre earth
178,1454,Watch some videos to learn more about how normal cells turn cancerous.,watch video learn normal cell turn cancerous
179,134,But the young women wear it more frequently .,young woman wear frequently
180,489,All living beings including man have natural rights .,living being including man natural right
181,396,Try to observe a blacksmith at work. He beats a hot iron piece repeatedly till its shape changes.,observe blacksmith work he beat hot iron piece repeatedly till shape
182,1775,"After accepting sanyas , Madhvacharya toured different parts of India twice for the purpose of spreading his teachings .",accepting sanyas madhvacharya toured part india purpose spreading his teaching
183,668,Continue to take his pulse every minute for minutes.,continue his pulse minute minute
184,1892,The Channar women created history by staging a struggle for the right to wear upper clothes .,channar woman created history staging struggle wear upper clothes
185,876,Fig .: Mother Goddess,fig mother goddess
186,657,Imagine a conversation between a French coloniser and a Vietnamese labourer in the canal project. The Frenchman believes he is bringing civilization to backward people and the Vietnamese labourer argues against it.,imagine conversation french coloniser vietnamese labourer canal project frenchman belief he bringing civilization backward people vietnamese labourer argues
187,107,They live as an endoparasite in the intestine of man .,live endoparasite intestine man
188,726,"A woman even if employed, has to do all these tasks.",woman employed task
189,139,Observe Figure . and compare the structure humerus ulna metacarpals carpals radius Forelimb of Man Forelimb of crocodile Flipper of whale Wing of bird Fig. . Structure of the forelimbs of organisms,observe figure compare structure humerus ulna metacarpal carpal radius forelimb man forelimb crocodile flipper whale wing bird fig structure forelimb organism
190,259,Rs per shirt. The cost of running his office came to Rs per shirt. Can you calculate the profit per shirt for the garment exporter?,shirt cost running his office shirt calculate profit shirt garment exporter
191,1961,Who is the new member of Suresh 's family ?,member suresh family
192,661,"If the mother feels that the child does not want her to take care of or take into her lap the other child , she should refrain herself from doing it so long the child has such type of mentality .",mother feel child her care her lap child she refrain herself long child type mentality
193,268,"Introduction : Man is a social animal and his minimum requirement is food , clothes , shelter , medical care and education .",introduction man social animal his minimum requirement food clothes shelter medical care education
194,1681,The Nallala copper inscription reveal that he constructed many lakes for the purposes of irrigation .,nallala copper inscription reveal he constructed lake purpose irrigation
195,992,The easiest method to produce plants with the characteristics of mother plants is cutting or grafting .,easiest method produce plant characteristic mother plant cutting grafting
196,1576,"All through history, human societies have become steadily more interlinked. From ancient times, travellers, traders, priests and pilgrims travelled vast distances for knowledge, opportunity and spiritual fulfilment, or to escape persecution. They carried goods, money, values, skills, ideas, inventions, and even germs and diseases. As early as bce an active coastal trade linked the Indus valley civilisations with present-day West Asia. For more than a millennia, cowries (the Hindi cowdi or seashells, used as a form of currency) from the Maldives found their way to China and East Africa. The long-distance spread of disease-carrying germs may be traced as far back as the seventh century. By the thirteenth century it had become an unmistakable link.",history human society steadily interlinked ancient time traveller trader priest pilgrim travelled vast distance knowledge opportunity spiritual fulfilment escape persecution carried good money value skill idea invention germ disease early bce active coastal trade linked indus valley civilisation presentday west asia millennium cowry hindi cowdi seashell form currency maldives china east africa longdistance spread diseasecarrying germ traced seventh century thirteenth century unmistakable link
